:record_time, :updated_at, :pushed_at, :stargazers_count, :watchers_count, :forks_count, :open_issues_count, :forks, :watchers
2016-12-02 02:44:34 UTC, 2016-12-01 14:43:24 UTC, 2016-12-02 02:35:51 UTC, 1, 1, 0, 0, 0, 1
2016-12-02 02:45:08 UTC, 2016-12-01 14:43:24 UTC, 2016-12-02 02:35:51 UTC, 1, 1, 0, 0, 0, 1
2016-12-02 02:49:03 UTC, 2016-12-01 14:43:24 UTC, 2016-12-02 02:45:45 UTC,1, 1,0, 0,0, 1
2016-12-02 02:52:01 UTC, 2016-12-02 02:51:18 UTC, 2016-12-02 02:49:40 UTC,2, 2,1, 0,1, 2
2016-12-02 03:08:14 UTC, 2016-12-02 02:51:18 UTC, 2016-12-02 02:52:43 UTC,2, 2,1, 0,1, 2
